PMID,QID,Question,Answer,Evidence,EvidenceLocation,Rationale,json_status
37920909,1,Does the paper report HIV sequences from patient samples?,Yes,"“After RNA extraction, an in-house genotyping method and standard Sanger sequencing were used to amplify and sequence HIV-1 integrase genes, as described previously.” “Of 629 newly reported cases, the HIV-1 integrase genes of 601 cases were sequenced successfully.”",main_text,The Methods and Results on pages 1–2 report newly generated integrase sequences from clinical samples of individuals with HIV.,strict
37920909,2,Does the paper report in vitro drug susceptibility data?,No,"“We used the Stanford University HIV Drug Resistance Database (HIVDB Algorithm version 9.4.1) to examine mutations.” “Sequences with resistance levels classified as low, intermediate, and high were all regarded as resistant.”",main_text,"Resistance classifications in Table 1 were inferred using HIVDB, not measured in phenotypic assays. The fold-change susceptibility statements in the discussion cite previous studies rather than new in vitro testing.",strict
37920909,3,Were sequences from the paper made publicly available?,No,,not_found,The supplied article contains no sequence-repository accession numbers or deposition statement. Supplementary Table 1 is linked but is not included in the supplied file.,strict
37920909,4,What were the GenBank accession numbers for sequenced HIV isolates?,Not reported,,not_found,No GenBank or other sequence-repository accession numbers are provided in the supplied article.,strict
37920909,5,How many individuals had samples obtained for HIV sequencing?,629,"“The current study recruited 629 ART-naïve individuals from Tianjin Second People’s Hospital between January 1, 2020, and April 1, 2023.” “Before initiating ART, 5 mL of blood was collected from the participants.” “Of 629 newly reported cases, the HIV-1 integrase genes of 601 cases were sequenced successfully.”",main_text,Samples were collected for sequencing from 629 individuals; sequencing succeeded for 601 of them.,strict
37920909,6,From which countries were the sequenced samples obtained?,China,"“This study evaluated the prevalence of INSTI-associated drug resistance among ART-naïve individuals infected with HIV-1 in Tianjin, China.” “The current study recruited 629 ART-naïve individuals from Tianjin Second People’s Hospital between January 1, 2020, and April 1, 2023.”",main_text,"Participants were recruited and sampled in Tianjin, China.",strict
37920909,7,From what years were the sequenced samples obtained?,2020–2023,"“The current study recruited 629 ART-naïve individuals from Tianjin Second People’s Hospital between January 1, 2020, and April 1, 2023.” “Before initiating ART, 5 mL of blood was collected from the participants.”",main_text,Pretreatment sampling corresponds to recruitment during 2020–2023. Table 1 on page 2 also lists samples from each of these years.,strict
37920909,8,Were samples cloned prior to sequencing?,Not applicable,"“After RNA extraction, an in-house genotyping method and standard Sanger sequencing were used to amplify and sequence HIV-1 integrase genes, as described previously.” “We used the Stanford University HIV Drug Resistance Database (HIVDB Algorithm version 9.4.1) to examine mutations.”",main_text,"The study does not report in vitro susceptibility testing, so the specified applicability rule requires Not applicable.",strict
37920909,9,Which HIV genes were reported to have been sequenced?,IN,"“After RNA extraction, an in-house genotyping method and standard Sanger sequencing were used to amplify and sequence HIV-1 integrase genes, as described previously.” “Of 629 newly reported cases, the HIV-1 integrase genes of 601 cases were sequenced successfully.”",main_text,Only integrase is reported as a sequencing target in this study.,strict
37920909,10,What method was used for sequencing?,Sanger sequencing,"“After RNA extraction, an in-house genotyping method and standard Sanger sequencing were used to amplify and sequence HIV-1 integrase genes, as described previously.” “Of 629 newly reported cases, the HIV-1 integrase genes of 601 cases were sequenced successfully.”",main_text,The Methods explicitly identify standard Sanger sequencing.,strict
37920909,11,What type of samples were sequenced?,Plasma,"“Before initiating ART, 5 mL of blood was collected from the participants.” “After RNA extraction, an in-house genotyping method and standard Sanger sequencing were used to amplify and sequence HIV-1 integrase genes, as described previously.” “Of 629 newly reported cases, the HIV-1 integrase genes of 601 cases were sequenced successfully.”",main_text,Plasma is inferred under the specified rule for samples from newly reported cases before ART. The paper explicitly reports blood collection and RNA extraction but does not specify the blood fraction used.,strict
37920909,12,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,"“The current study recruited 629 ART-naïve individuals from Tianjin Second People’s Hospital between January 1, 2020, and April 1, 2023.” “Before initiating ART, 5 mL of blood was collected from the participants.”",main_text,"All participants were ART-naïve and were sampled before treatment, not during virological failure.",strict
37920909,13,Were the patients in the study in a clinical trial?,No,"“This study evaluated the prevalence of INSTI-associated drug resistance among ART-naïve individuals infected with HIV-1 in Tianjin, China.” “Baseline clinical and demographic data were obtained from the NFATP database, including sex, age, transmission route, CD4 count, and viral load.”",main_text,"This is an observational pretreatment resistance survey. No treatment allocation, randomization, trial phase, or other evidence of clinical-trial participation is described.",strict
